id,source,text,label,fold,pred0,pred1
80074aa43,news4vip,まともに相手されてない人との関係なんてそんな大事にするものか。[SEP]まともに相手されてない人との関係なんてそんな大事にするものか?,0,0,5.75,-5.406
4bfd81550,news4vip,キャラクターはこれといって有名なものはありません。[SEP]なにか物事をとにかくキャラクターにするような感じです。イメージも人それぞれです。,0,0,4.92,-4.61
27f970985,newsplus,生身のドス攻撃って言うと・・・ってあいつらそれもやりそうだよ。[SEP]生身のドス攻撃って言うと・・・ってあいつらそれもやりそうだよね,0,0,6.758,-6.656
653c87fa8,news4vip,私フェミニストなのかなー。[SEP]そうは思ってなかったし、そういわれたこともなかった。,0,0,5.137,-5.19
bc0bfeda7,livejupiter,負けていいなんて思ってるスポーツ選手なんて大成するはずないのに、そう思いながらプロ名乗ってる選手の気がしれんよほんと「たまたまサイコロの6の目が出た、やったー!」ってのをサッカー場使って地方都市ぐるみで大掛かりにやってるのがそんなに楽しいのか。[SEP]負けていいなんて思ってるスポーツ選手なんて大成するはずないのに、そう思いながらプロ名乗ってる選手の気がしれんよほんと「たまたまサイコロの6の目が出た、やったー!」ってのをサッカー場使って地方都市ぐるみで大掛かりにやってるのがそんなに楽しいのかと,0,0,4.11,-4.133
d386e8056,news4vip,桃かわからんが確かにフルーティーな香りするよねwなんか虫コナーズに同じ香りのものがあるらしい。[SEP]桃かわからんが確かにフルーティーな香りするよねwなんか虫コナーズに同じ香りのものがあるらしいが,0,0,6.926,-6.844
4e64423c0,livejupiter,1万だったらピンサロぐらいしか行けんなピンサロでなら指命もできるだろ。[SEP]1万だったらピンサロぐらいしか行けんなピンサロでなら指命もできるだろう,0,0,5.863,-6.086
449cb772d,news4vip,でもプフが人間側に撒き散らしてた可能性あるよ。[SEP]でもプフが人間側に撒き散らしてた可能性あるよな,0,0,5.598,-5.777
ca8ef7bd2,newsplus,"|_,,∧|工°=)<おーぷんとも関係ないからω分かるはずないよ!でも、組織でもないω|×)∂個別の11人的なω|ω。[SEP]|_,,∧|工°=)<おーぷんとも関係ないからω分かるはずないよ!でも、組織でもないω|×)∂個別の11人的なω|ω∪",0,0,5.08,-4.887
66eb0c932,livejupiter,デュラララチャットで自衛官って嘘ついてたら論破されて顔真っ赤になったわ、死にた。[SEP]デュラララチャットで自衛官って嘘ついてたら論破されて顔真っ赤になったわ、死にたい,0,0,5.227,-5.926
bb608e780,livejupiter,今から4g買っても楽しめるかな?ちなみに今までプレイは無印、G、2、P、P2、P3、P3Gまで。[SEP]今から4g買っても楽しめるかな?ちなみに今までプレイは無印、G、2、P、P2、P3、P3Gまでや,0,0,5.152,-6.375
604fad2a9,news4vip,独身女なんて人間としての価値無いからな女の仕事は、養鶏場の鶏と同じで、産むのが仕事その仕事を放棄しているのならば、産まなくなった鶏と同じように廃棄すれば良。[SEP]独身女なんて人間としての価値無いからな女の仕事は、養鶏場の鶏と同じで、産むのが仕事その仕事を放棄しているのならば、産まなくなった鶏と同じように廃棄すれば良い,1,0,-4.195,3.803
b90e8406e,news4vip,ケンモメンが消えろということか。[SEP]ケンモメンが消えろということか?,0,0,5.69,-6.055
0ddd0a075,newsplus,はあ?イスラム教徒がロックコンサート行くか?パリテロではイスラム教徒の被害者居ないだろ。[SEP],0,0,3.52,-3.104
9a63d2f53,news4vip,アフリカ人が死ぬのは怠けているからではないでしょう。[SEP]あなたが仕事か餓死かを選んだらどちらを選びますか?働いてもそれを上回る飢餓が起こっています,0,0,1.954,-1.822
f5373340f,news4vip,理不尽な辛さじゃなければ一理あるとは思ってる乗り越えるためのアドバイスやら助言を貰いに行く事はいいと思うけど悩みの内容によるか。[SEP]理不尽な辛さじゃなければ一理あるとは思ってる乗り越えるためのアドバイスやら助言を貰いに行く事はいいと思うけど悩みの内容によるかな,0,0,7.39,-6.848
c6a364666,livejupiter,別に疚しいことなんてないんやで協力すればええのに誰も角たたんや。[SEP]別に疚しいことなんてないんやで協力すればええのに誰も角たたんやろ,0,0,6.66,-6.965
abedb1814,news4vip,議論であろうが討論であろうが己が無知を知るべき所人は全てに於いて世を知っている訳ではない知らない事を教えて貰えるその機会ってのはとても貴重なこと勝ち負けに拘ってるようじゃ世界を狭めるだけ。[SEP]議論であろうが討論であろうが己が無知を知るべき所人は全てに於いて世を知っている訳ではない知らない事を教えて貰えるその機会ってのはとても貴重なこと勝ち負けに拘ってるようじゃ世界を狭めるだけだ,0,0,4.496,-4.203
d0dce2ceb,livejupiter,ワイは黒羽根と同じ地元やからクビにされたら凹むあと石井裕也も同じ地元。[SEP]ワイは黒羽根と同じ地元やからクビにされたら凹むあと石井裕也も同じ地元や,0,0,4.668,-5.79
8a0a1954d,livejupiter,(なんとも)ないで。[SEP](なんとも)ないです,0,0,5.29,-5.1
1de181ec3,newsplus,自分が育てたものがある程度のモノになるのに途方もない年月がかかるってことじゃないかな?若い奴が自分で育てた良い盆栽持ってるはずないも。[SEP]自分が育てたものがある程度のモノになるのに途方もない年月がかかるってことじゃないかな?若い奴が自分で育てた良い盆栽持ってるはずないもん,0,0,6.8,-5.918
8796b6260,newsplus,そうそう。[SEP]この記事読んで、ああ、やっぱり左翼は大衆煽動にだけは長けてるんだなあと改めて思った。そして、その煽動に乗りやすいのも左翼思想の持ち主という状態。,0,0,5.26,-4.87
0b0eca91e,news4vip,そらEUには行くでしょそもそもEU自体が圧迫した内需を市場規模拡大でなんとかしようとしたものだ。[SEP]そらEUには行くでしょそもそもEU自体が圧迫した内需を市場規模拡大でなんとかしようとしたものだし,0,0,6.652,-7.223
d5914f253,news4vip,うっひょおおおデュークゥゥゥウ!!。[SEP]うっひょおおおデュークゥゥゥウ!!!,0,0,4.938,-5.105
406c9a1a4,livejupiter,怪我を察知したり言いやすい雰囲気を作るのも監督の仕事と言いた。[SEP]怪我を察知したり言いやすい雰囲気を作るのも監督の仕事と言いたい,0,0,6.547,-6.695
af7726673,livejupiter,土人ばいって人間なんやで...?なんぼ教養がなく自堕落で下等ばいとしても同じ仲間なんやで...差別はあか。[SEP]土人ばいって人間なんやで...?なんぼ教養がなく自堕落で下等ばいとしても同じ仲間なんやで...差別はあかん,0,0,2.938,-2.467
f37656203,newsplus,単にシフト交代じゃねーの他のスレでも頑張ってたけどぱったりレスを止まってる。[SEP]単にシフト交代じゃねーの他のスレでも頑張ってたけどぱったりレスを止まってるし,0,0,7.24,-6.684
ce1b36452,newsplus,反原発は共産だから比例は共産とか言い出すタイプを絶対に信用しないマ。[SEP]反原発は共産だから比例は共産とか言い出すタイプを絶対に信用しないマン,0,0,5.957,-4.89
7828c3c62,news4vip,そういや、天皇制って今も反対意見って、あんまり聞かないね何でだろ。[SEP]そういや、天皇制って今も反対意見って、あんまり聞かないね何でだろう,0,0,7.434,-7.492
9b9f162aa,newsplus,公式放送で北朝鮮生中継垂れ流してるよ生放送主もチョン顔・整形チョン顔のオンパレー。[SEP]公式放送で北朝鮮生中継垂れ流してるよ生放送主もチョン顔・整形チョン顔のオンパレード,0,0,2.943,-3.168
4415f6a37,news4vip,二八蕎麦って蕎麦粉80%小麦粉20%じゃないぞイトメンの二八蕎麦には騙され。[SEP]二八蕎麦って蕎麦粉80%小麦粉20%じゃないぞイトメンの二八蕎麦には騙された,0,0,5.195,-5.676
40284c19a,newsplus,在日朝鮮人は悪魔だ。[SEP]在日朝鮮人は悪魔だな,1,0,-5.223,4.684
87e91609b,newsplus,なるほどな、一部の人間はそうだろうけど、俺が聞きたいのは、レスタイにある様な320万人の人達なん。[SEP]なるほどな、一部の人間はそうだろうけど、俺が聞きたいのは、レスタイにある様な320万人の人達なんだ,0,0,5.777,-6.742
8b0ebb8c0,livejupiter,凶器出てきたけどこんなもんで人間の首きれるわけないンゴ黒服怪しいンゴまだ騒いど。[SEP]凶器出てきたけどこんなもんで人間の首きれるわけないンゴ黒服怪しいンゴまだ騒いどる,0,0,6.36,-6.41
e965d6e85,newsplus,次は是非イタリアとスペイン紙でも扱って欲しい話題だな・・。[SEP]次は是非イタリアとスペイン紙でも扱って欲しい話題だな・・w,0,0,6.11,-5.824
53064fb64,newsplus,番長皿屋敷をイメージしただけで、まさかの時に備えたわけでは・・。[SEP]番長皿屋敷をイメージしただけで、まさかの時に備えたわけでは・・・,0,0,6.5,-6.12
3715ba347,news4vip,掻きまくってる掻きまくってたら変な汁が出て来てその汁で余計に痒くなる悪循。[SEP]掻きまくってる掻きまくってたら変な汁が出て来てその汁で余計に痒くなる悪循環,0,0,4.7,-5.305
76e499c7b,newsplus,事実で思い出したが当時の共産党の知事候補の宇都宮ってさリンチ事件で有名な志位るずの保護者、しばき隊が身辺うろついてて思想的に反対の人間が宇都宮の公園を聴きにきたら大勢で囲んだって話があった。[SEP]事実で思い出したが当時の共産党の知事候補の宇都宮ってさリンチ事件で有名な志位るずの保護者、しばき隊が身辺うろついてて思想的に反対の人間が宇都宮の公園を聴きにきたら大勢で囲んだって話があったね,0,0,5.098,-4.758
986953494,news4vip,あのデザイナーが(イスラム人だっけ?)日本はあんなのを採用したんですか?って驚いてた。[SEP]あのデザイナーが(イスラム人だっけ?)日本はあんなのを採用したんですか?って驚いてたな,0,0,3.99,-4.215
624e191d4,newsplus,「自衛」って言っちゃうと全肯定になるしそんなに崇高なモンでもない自分の子分増やそうとしただけ。[SEP]「自衛」って言っちゃうと全肯定になるしそんなに崇高なモンでもない自分の子分増やそうとしただけよ,0,0,5.8,-5.996
6970488dd,news4vip,すぐ打ち解けられるやつもいればそうじゃねーやつもいるって偏見持つやつもいる。[SEP]すぐ打ち解けられるやつもいればそうじゃねーやつもいるって偏見持つやつもいるし,0,0,7.17,-6.75
d7db0b1f7,news4vip,それで吐いても意味ないなぜならやっていてもいなくても自白するからそんなので認めさせて自白したってやるのがおかしいだから日本の司法は中世とか言われ。[SEP]それで吐いても意味ないなぜならやっていてもいなくても自白するからそんなので認めさせて自白したってやるのがおかしいだから日本の司法は中世とか言われる,0,0,4.984,-5.41
902d660fa,news4vip,人類は皆平等だ但しクソキリスト教徒やムスリム教土人や日本の領土を奪うロシアの白豚やゴキブリ中韓は別だ連中は人類では無。[SEP]人類は皆平等だ但しクソキリスト教徒やムスリム教土人や日本の領土を奪うロシアの白豚やゴキブリ中韓は別だ連中は人類では無い,1,0,-2.475,1.512
c63dbff36,news4vip,すごい精一杯説明してるつもりもし、煽りではなければどこが説明下手なのか説明をお願いしま。[SEP]すごい精一杯説明してるつもりもし、煽りではなければどこが説明下手なのか説明をお願いします,0,0,7.055,-6.656
53ddcc621,newsplus,必要なのはスマート炊飯器ではなく、耐10気圧炊飯器だ自宅でポン菓子ができるよ!できるよ。[SEP]必要なのはスマート炊飯器ではなく、耐10気圧炊飯器だ自宅でポン菓子ができるよ!できるよ!,0,0,5.48,-5.47
81f6efee3,news4vip,それも原因のひとつだな。[SEP]女に社会的地位なんて与える必要ない。,1,0,-0.9214,0.071
abfe3a502,livejupiter,でも本家のかもめせんと比べたらここは糞コテが粘着してるだけであとは幾分か平和だよ。[SEP]でも本家のかもめせんと比べたらここは糞コテが粘着してるだけであとは幾分か平和だよな,0,0,5.87,-6.12
253c59e5b,news4vip,Q部屋の中にあります。[SEP]Q部屋の中にありますか,0,0,4.668,-6.047
309b37669,news4vip,ゲームだとしたら気持ち悪い漫画だとしたら気持ち悪いなろうも気持ち悪いPixivも気持ち悪。[SEP]ゲームだとしたら気持ち悪い漫画だとしたら気持ち悪いなろうも気持ち悪いPixivも気持ち悪い,0,0,5.83,-5.703
70d539dd1,newsplus,0.2%、0.5%増加か。[SEP]それで消費が増えてインフレになるってか。日銀ですらインフレ予想を後ずれさせてるのに、おとぎの国に住んでるのか。,0,0,5.203,-5.5
1b73a749e,news4vip,ダーティな部分を引き受ける法律事務所として有名で世界中に支店を持ってたからスイスの銀行家同様に口がかたいのでも有名だったようだ。[SEP]ダーティな部分を引き受ける法律事務所として有名で世界中に支店を持ってたからスイスの銀行家同様に口がかたいのでも有名だったようだね,0,0,5.656,-5.57
1253174c6,livejupiter,上に書いてあるやろ施設やから一般企業みたいなミスはないけど、教えたことを教えて貰ってないだの、それぞれが担当の利用者の持ち物に名札をつけるんだけどそれを適当な布の端切れで適当に縫い付けたり、仕舞には先輩が虐待してるって役所にタレコミし。[SEP]上に書いてあるやろ施設やから一般企業みたいなミスはないけど、教えたことを教えて貰ってないだの、それぞれが担当の利用者の持ち物に名札をつけるんだけどそれを適当な布の端切れで適当に縫い付けたり、仕舞には先輩が虐待してるって役所にタレコミして,0,0,4.16,-4.91
1855755a2,newsplus,過激なことを言ってるのは左も同じ自覚ないんだろうな徒労感しかないわ両成敗にしないと爆発する。[SEP]過激なことを言ってるのは左も同じ自覚ないんだろうな徒労感しかないわ両成敗にしないと爆発するよ,0,0,5.168,-5.8
9ff5f7119,news4vip,せやででもヤシガニ雑食だから自分で捕まえて食べるのはオススメしない、シガテラ的な事になることもあるあー、スナックパインの鉢植え?あれかわいいよな、昔ベランダで日光浴させてたらシロガシラにフルボッコにされた。[SEP]せやででもヤシガニ雑食だから自分で捕まえて食べるのはオススメしない、シガテラ的な事になることもあるあー、スナックパインの鉢植え?あれかわいいよな、昔ベランダで日光浴させてたらシロガシラにフルボッコにされたわ,0,0,5.168,-3.91
0531bf346,news4vip,ゆい旅行いってんのか!いつだったか写真が趣味って言ってたから上げられるのをうpしてほしいな。[SEP]ゆい旅行いってんのか!いつだったか写真が趣味って言ってたから上げられるのをうpしてほしいなあ,0,0,7.477,-7.03
db1ff71d3,news4vip,白人ならちょっと働くだけでアジアンの何倍もの価値を生める人生の価値が違。[SEP]白人ならちょっと働くだけでアジアンの何倍もの価値を生める人生の価値が違う,1,0,2.557,-1.824
9c9b29c27,livejupiter,日本の一部の地域ではイルカは食材として扱われてる。[SEP]日本の一部の地域ではイルカは食材として扱われてるで,0,0,6.066,-5.26
7c8e27183,newsplus,サウジが金と武器渡してるんとちゃうんか。[SEP]サウジが金と武器渡してるんとちゃうんか?,0,0,7.125,-6.76
a9a5df32b,news4vip,仏教のは通夜とかから白装束着せて棺に入れる迄に「〇〇の儀」っていうのがいくつかあって触ったり話しかけたりとかあるんやけど、神道のはそんなのが全くないらしいだから人によってはもう少し遺体と一緒に居たかったとか寂しく思うらし。[SEP]仏教のは通夜とかから白装束着せて棺に入れる迄に「〇〇の儀」っていうのがいくつかあって触ったり話しかけたりとかあるんやけど、神道のはそんなのが全くないらしいだから人によってはもう少し遺体と一緒に居たかったとか寂しく思うらしい,0,0,4.145,-3.014
855419fc3,newsplus,違う違うw「会うべ」が訛ってるらしい。[SEP]先に死んだ老人が幽霊になって天井から娘に、こっちの世界に来いと言う話。,0,0,4.37,-4.797
dadbda8ff,newsplus,彼らは野党という利権組織だからね国政が順風満帆よりもは荒れてた方が好都合だか。[SEP]彼らは野党という利権組織だからね国政が順風満帆よりもは荒れてた方が好都合だから,0,0,5.867,-5.297
57157d8c8,newsplus,"|_,,∧|工°=)<バナナはおやつに含まれますか?|×)∂|ω。[SEP]|_,,∧|工°=)<バナナはおやつに含まれますか?|×)∂|ω∪",0,0,5.414,-5.082
39aedb24c,livejupiter,宇垣は石原排除しても結局東条に追放されそう長州閥の権力を維持せんと。[SEP]宇垣は石原排除しても結局東条に追放されそう長州閥の権力を維持せんとな,0,0,3.861,-4.676
b5e298bf8,newsplus,笑うべきところなんだろうけど、本当にイスラム指導者のIS批判って見えてこないよな。[SEP],0,0,4.7,-4.156
04bf9571e,newsplus,べつに在日米軍基地は必須じゃないでしょ日本が軍隊を持っていると同時に日本に戦争吹っかけたらアメリカまででてくるってなってたらどこの国が仕掛けてくるんだよって。[SEP]べつに在日米軍基地は必須じゃないでしょ日本が軍隊を持っていると同時に日本に戦争吹っかけたらアメリカまででてくるってなってたらどこの国が仕掛けてくるんだよって話,0,0,5.457,-5.14
c46beffb7,livejupiter,お前djTAKAみたいなIDしてん。[SEP]お前djTAKAみたいなIDしてんな,0,0,5.723,-6.05
60c0eef19,news4vip,プライベートでパソコンできない奴って大抵仕事始めた直後すげー苦労すんだよね。[SEP]どいつもこいつも今までスマホばっかやってきたゆとりだから教えるのホント大変だわ。アホセンみたいなゴミみたいな考え方だからなんだな、納得,0,0,4.39,-4.973
8ca955e56,newsplus,侮辱されて何もしないでいるのは謙虚とは言いませんよチョンさ。[SEP]侮辱されて何もしないでいるのは謙虚とは言いませんよチョンさん,0,0,1.886,-1.976
a401f45a4,newsplus,一般人から死人が出るのは確かに本当に迷惑な話だが有用な最適解が他にあるなら具体的に示せば誰も文句は言わな。[SEP]一般人から死人が出るのは確かに本当に迷惑な話だが有用な最適解が他にあるなら具体的に示せば誰も文句は言わない,0,0,6.074,-6.84
4a9054533,livejupiter,遠いなぁ現状人数少ないから一人でも多く参加してもらえれば嬉しいんやけど無理する必要は無い。[SEP]遠いなぁ現状人数少ないから一人でも多く参加してもらえれば嬉しいんやけど無理する必要は無いで,0,0,6.54,-7.3
06176369e,livejupiter,やっぱり劣等人種チョッパリは皆殺しにしないと。[SEP]やっぱり劣等人種チョッパリは皆殺しにしないとね,1,0,-2.34,1.752
af84168a5,newsplus,他人の金を集めて、自分の好き勝手に使いたい奴等の甘言に騙されないようにしないとね明らかな嘘に騙される奴は、それ自体が己れに対する。[SEP]他人の金を集めて、自分の好き勝手に使いたい奴等の甘言に騙されないようにしないとね明らかな嘘に騙される奴は、それ自体が己れに対する悪,0,0,2.898,-3.057
aeb7bfbbb,news4vip,仮に本当に中二ショタだとしてもお前とは遊びに行かねえよ!捕まるわ。[SEP]仮に本当に中二ショタだとしてもお前とは遊びに行かねえよ!捕まるわ!,0,0,5.312,-5.426
0fb59b743,livejupiter,日本が韓国に対して恨みとかある歴史ってあったっ。[SEP]日本が韓国に対して恨みとかある歴史ってあったっけ,0,0,4.56,-5.04
6d7473f0a,news4vip,汚いんだよ今の日本人男なんかぜんぶオカマの癖。[SEP]汚いんだよ今の日本人男なんかぜんぶオカマの癖に,1,0,-2.162,1.459
31e1f57b1,livejupiter,全部が裏目に出てるよなフロント側も対処しきれんかったんやろ。[SEP]全部が裏目に出てるよなフロント側も対処しきれんかったんやろか,0,0,6.305,-6.47
f48c63ef9,news4vip,まあ都民にかぎらず女は政治に関してはアホというか、向いてない。[SEP]コイツらから選挙権を剥奪したら日本の政治はまともになる。,1,0,-1.346,1.206
19b0fd462,newsplus,日本は移民の国ではないから、いつか必ず祖国に帰るか、日本人になるかどちらかしかない。[SEP]日本人になるつもりのない朝鮮人だけは叩き出せ。,1,0,-3.84,3.05
e5d420b0d,livejupiter,経営学部やけど適当に受けとるから経営は興味ない経営者の人の話す機会もある(今日もおると思う)けど自分的にはあんまりやな。[SEP]経営学部やけど適当に受けとるから経営は興味ない経営者の人の話す機会もある(今日もおると思う)けど自分的にはあんまりやなー,0,0,7.926,-7.016
4dd8a0b47,newsplus,これはお前だけに言うのではないけれども、今時ネトウヨ連呼厨は流行りません。[SEP]これはお前だけに言うのではないけれども、今時ネトウヨ連呼厨は流行りませんよ,0,0,5.242,-6.125
27be29967,livejupiter,うんこ輸出大国ツイッターとうんこ輸入大国おんJやろ何もおかしくない。[SEP]うんこ輸出大国ツイッターとうんこ輸入大国おんJやろ何もおかしくないわ,0,0,5.477,-5.473
9e9672402,newsplus,ID:Xb7こいつ、まだバレてないと思ってるらしい。[SEP]パンドラの箱に最後に残ったものなのだが、議員の地位が恋しい民進党議員には正に藁に見えるんだろうな,0,0,4.027,-4.24
f46b2a9b9,news4vip,ぼかあはヘビー級の総合格闘技してるけど、太ももつねられたら気絶するほど悶絶するんだが?にわか乙アフリ。[SEP]ぼかあはヘビー級の総合格闘技してるけど、太ももつねられたら気絶するほど悶絶するんだが?にわか乙アフリカ,0,0,3.55,-4.582
f7a823291,newsplus,では、このスレに関してはどう思いますか?板とかけ離れていますか。[SEP]では、このスレに関してはどう思いますか?板とかけ離れていますか?,0,0,6.625,-5.97
6a94e3389,news4vip,裏を返せば君のチンポは洗わないと極めて強烈な異臭を放つということだ。[SEP]裏を返せば君のチンポは洗わないと極めて強烈な異臭を放つということだな,0,0,3.514,-4.254
2b8c29674,newsplus,つーか、報ステは何で犯人の画像にモザイクかけてやがんの?!テレ朝はもう報道辞めちまえよ!。[SEP]つーか、報ステは何で犯人の画像にモザイクかけてやがんの?!テレ朝はもう報道辞めちまえよ!!,0,0,3.342,-3.209
818a69192,newsplus,自衛隊の装備品の宿命で価格じゃない?ただ武器輸出が解禁になったので機体を作って電子機器は、現地の物を使う方式で輸出できれば価格が下がるかもしれない。[SEP],0,0,5.453,-5.086
8716284bd,livejupiter,徳島土人だか武蔵野土人だか知らないが汚いから神戸に来んな。[SEP]徳島土人だか武蔵野土人だか知らないが汚いから神戸に来んなよ,1,0,-2.334,2.756
f6402aaac,livejupiter,うちのグループは50リーダーとかボナ1200越えとかいないから緩いのかキツイのか分から。[SEP]うちのグループは50リーダーとかボナ1200越えとかいないから緩いのかキツイのか分からん,0,0,6.96,-7.184
f2984ae72,newsplus,俺は向こうでもニュー速+民だったから自動的にこっちだけど、VIPみたいなところは人が多くないとレベルの高い遊びが発生しないですね。[SEP],0,0,5.023,-5.145
3f9c3bcf9,newsplus,いや、それは言ってないんじゃないかな?米中間にはFTAなどの協定が一切締結されていないので、言わないと思う。[SEP]って、間違えてないと思うのだが・・・記憶の限りでは過去に2回ほど一部に於いて通商関連の交渉が有ったが結局成立しなかった。,0,0,5.73,-5.367
980ddbccd,news4vip,はい、必殺技とかも使っちゃうらしいのでカモメとか操られるとかなり厄介だと思いま。[SEP]はい、必殺技とかも使っちゃうらしいのでカモメとか操られるとかなり厄介だと思います,0,0,6.902,-6.562
103c55cbd,news4vip,それが普通だなその人はわりと模範。[SEP]それが普通だなその人はわりと模範的,0,0,5.37,-6.1
87a730ceb,news4vip,信じてはいないでしょ文化的なものだよあとジャップという発言は不快だからやめ。[SEP]信じてはいないでしょ文化的なものだよあとジャップという発言は不快だからやめろ,0,0,5.945,-5.168
e0134386a,news4vip,歌える歌えないの離ししてたのになんで歌ってる最中の反応の話にすり替わってるの言葉のキャッチボールもできない厨房は歯磨きして寝ろよおやす。[SEP]歌える歌えないの離ししてたのになんで歌ってる最中の反応の話にすり替わってるの言葉のキャッチボールもできない厨房は歯磨きして寝ろよおやすみ,0,0,5.734,-5.47
bb9dad36c,livejupiter,一番好きなネタは真ん中らへんで頼むかなあ最初からはいきたくないけど、最後やとお腹一杯になるのが心配や。[SEP]一番好きなネタは真ん中らへんで頼むかなあ最初からはいきたくないけど、最後やとお腹一杯になるのが心配やし,0,0,6.676,-6.57
c1b4cb7fa,news4vip,日本人なんて全員死ねばいいんだ。[SEP]お前らは死ぬまで下等人種としてしか生きられないんだよw,1,0,-5.63,5.383
3afd0e2b8,news4vip,たかが2割で企業ブースが1割としても話題性も終わった後の話題もそれらがほぼ全てってのはそれ以外に価値が無いと多くの人が判断してるからじゃないか?と俺は言っとるわ。[SEP]たかが2割で企業ブースが1割としても話題性も終わった後の話題もそれらがほぼ全てってのはそれ以外に価値が無いと多くの人が判断してるからじゃないか?と俺は言っとるわけ,0,0,5.492,-6.043
9f828c414,news4vip,そもそも近年の「黒歴史」という言葉自体がガンダム由。[SEP]そもそも近年の「黒歴史」という言葉自体がガンダム由来,0,0,4.414,-3.85
9dd3ef11e,newsplus,ミッドウェイ海戦後に作られたのか海戦後は戦艦は作られずに実際に海戦に必要なものに絞り混んで作られた。[SEP]ミッドウェイ海戦後に作られたのか海戦後は戦艦は作られずに実際に海戦に必要なものに絞り混んで作られたと,0,0,5.336,-7.086
e8f7deae1,newsplus,じゃ、小型2輪車以上を製造販売すれば、形式上は自動車メーカーなんか?トンクスwもし販売すれば、BMW、ホンダ、スズキに次いで2輪4輪メーカーかぁ。[SEP],0,0,5.55,-5.137
