id,source,text,label,fold,pred0,pred1
6378fea6b,livejupiter,最近はアヘアヘQSマンやない? イイ!(・∀・)+1-0(・A・)イクナイ。[SEP]最近はアヘアヘQSマンやない? イイ!(・∀・)+1-0(・A・)イクナイ!,0,4,6.582,-6.168
c4bc5079b,newsplus,だから、『退治』なわけ。[SEP]殺されたとか、無実の人間みたいな言い方するな。退治されただけだろうが。,0,4,4.383,-4.453
f696409f8,news4vip,都内の主要幹線道路の一角にいた百円で醤油の効いた海苔巻き餅を売ってくれたオジサンあれは旨かっ。[SEP]都内の主要幹線道路の一角にいた百円で醤油の効いた海苔巻き餅を売ってくれたオジサンあれは旨かった,0,4,4.105,-5.8
1cea0f9a0,newsplus,付加機能がなにもない一番安い機種だね。[SEP]数字のボタン押して電話掛けるだけのヤツ。,0,4,3.422,-4.18
49bd87405,news4vip,ファーストエイドってリアルに救急箱かよwwwコンパスポーチにでも忍ばしておく。[SEP]ファーストエイドってリアルに救急箱かよwwwコンパスポーチにでも忍ばしておくよ,0,4,4.723,-5.195
63d2593c3,news4vip,彼らはネットを見てないのかね声掛けが不快だって意見が多い事を知らないの。[SEP]彼らはネットを見てないのかね声掛けが不快だって意見が多い事を知らないのか,0,4,6.047,-7.152
e46e68798,news4vip,だよね、javaの本読んでJSの本読んだら一瞬文学系の本読んでるかと錯覚したもんjavaもやりた。[SEP]だよね、javaの本読んでJSの本読んだら一瞬文学系の本読んでるかと錯覚したもんjavaもやりたい,0,4,6.57,-7.84
85fc88d5c,news4vip,いや、あくまで糸口やからね、車輪っぽいものから車輪が作れるということは人類が多少アイデアを足してるってことやろ?つまり人類は自然界に存在するものとは違うものを作り出すことができる、だから量子コンピュータを作ることができる可能性は存在す。[SEP]いや、あくまで糸口やからね、車輪っぽいものから車輪が作れるということは人類が多少アイデアを足してるってことやろ?つまり人類は自然界に存在するものとは違うものを作り出すことができる、だから量子コンピュータを作ることができる可能性は存在する,0,4,5.688,-6.953
5d3c153be,news4vip,本人調子狂うとよくないがおーぷんで今まで見た中でベストだわ。[SEP]240でまずビビった。,0,4,3.914,-4.004
2334f5fa8,news4vip,お粗末ブームが来たせいで今まで無地パーカー好きで着てたのが着れなくなった考え過ぎかね。[SEP]お粗末ブームが来たせいで今まで無地パーカー好きで着てたのが着れなくなった考え過ぎかね?,0,4,6.832,-7.703
737bf113e,news4vip,子孫を残す為に若い女を求めるのは生き物として当然な気がする一夫多妻制の国の男は総じて自分より年下の女を選んでる。[SEP]子孫を残す為に若い女を求めるのは生き物として当然な気がする一夫多妻制の国の男は総じて自分より年下の女を選んでるし,0,4,3.084,-3.49
9b9f79543,newsplus,アメリカザリガニに日本ザリガニが駆逐されてくようなも。[SEP]アメリカザリガニに日本ザリガニが駆逐されてくようなもの,0,4,2.719,-2.623
62aadc752,news4vip,小遣い稼ぎと考えるなら良いんじゃねいくら利益がでるかわからんけ。[SEP]小遣い稼ぎと考えるなら良いんじゃねいくら利益がでるかわからんけど,0,4,6.293,-6.61
cb78d170c,news4vip,それそれ!でもいざ自分がやってみると、興奮してるわけでもないのに反応しちゃうもんだから…情けないやら申し訳ないやら。[SEP]それそれ!でもいざ自分がやってみると、興奮してるわけでもないのに反応しちゃうもんだから…情けないやら申し訳ないやらで,0,4,7.125,-7.637
706236de7,livejupiter,その三河も釣りで闇深に仕立て上げるために余計なレスされない1001に書いたと思って。[SEP]その三河も釣りで闇深に仕立て上げるために余計なレスされない1001に書いたと思ってる,0,4,6.293,-6.32
b74aa82e0,news4vip,どうもどうもチンハラするんすか?でチンハラってなんすか。[SEP]どうもどうもチンハラするんすか?でチンハラってなんすか?,0,4,5.684,-6.6
0565a551b,newsplus,キリスト教では、売春禁止は明文規定なんだけどねあっ、ウリスト教だったわ。[SEP]キリスト教では、売春禁止は明文規定なんだけどねあっ、ウリスト教だったわな,0,4,5.34,-5.86
757f63415,news4vip,でも、実際家事は大変じゃないよね仕事しながら家事自炊なんて独身のころにやってたから問題無いとしてそこに子育てが加わるとマジでしんどいと思ったんだ。[SEP]でも、実際家事は大変じゃないよね仕事しながら家事自炊なんて独身のころにやってたから問題無いとしてそこに子育てが加わるとマジでしんどいと思ったんだわ,0,4,5.54,-6.2
4b6452c69,livejupiter,日本人じゃないしいいよ別に偽善大国日本なんて滅んだらい。[SEP]日本人じゃないしいいよ別に偽善大国日本なんて滅んだらいい,1,4,1.574,-1.677
e1425c601,news4vip,P*oωo)普段大人しい子に多い気がす。[SEP]P*oωo)普段大人しい子に多い気がする,0,4,5.01,-5.63
2ef939559,newsplus,どこの学校の子も気持ちのいいやつらだったなぁ(*`ω`*)ところで車長が方向指示するときドライバーの肩を蹴っ飛ばすのは本当なのか?。[SEP]どこの学校の子も気持ちのいいやつらだったなぁ(*`ω`*)ところで車長が方向指示するときドライバーの肩を蹴っ飛ばすのは本当なのか?w,0,4,3.914,-3.582
e33f72eb1,news4vip,話聴くのは確かに大事すぎるな男とは全然違うすべらない話しても意味なかった。[SEP]話聴くのは確かに大事すぎるな男とは全然違うすべらない話しても意味なかったわ,0,4,4.75,-4.875
9741d6e4c,livejupiter,うん何とかしたほうがええなあとケトルおしっこは器物損壊に当たりそうや刑法に当たるからホテルにばれたら捕まるんちゃうか。[SEP]うん何とかしたほうがええなあとケトルおしっこは器物損壊に当たりそうや刑法に当たるからホテルにばれたら捕まるんちゃうか?,0,4,6.363,-7.707
cf8be713e,newsplus,【朗報】JaneStyleで2chアドレス経由の5chスレッドが閲覧できなくなる5ちょんをやめる絶好のチャンス到。[SEP]【朗報】JaneStyleで2chアドレス経由の5chスレッドが閲覧できなくなる5ちょんをやめる絶好のチャンス到来,0,4,3.973,-4.82
b70674e97,newsplus,サヨクはバカだから、これとて「向こうが頭下げればなw」って言ってる事すら「安部は売国奴www」だもんな、幸せな頭してるわ。[SEP]サヨクはバカだから、これとて「向こうが頭下げればなw」って言ってる事すら「安部は売国奴www」だもんな、幸せな頭してるわw,0,4,5.344,-5.055
d93bdca23,livejupiter,鷹さん!無理なことは言わん同点までは押し出し四球で手を打たないか。[SEP]鷹さん!無理なことは言わん同点までは押し出し四球で手を打たないか?,0,4,5.984,-7.35
2ecc5b91d,newsplus,アベってなんでカタカナなのかね?安倍を安部って書いてるパヨが一時期大量発生してたせい?wアベ政権を許さないならまだしもアベ政治を許さないって可笑しいし、やっぱり自己紹介でキムチ臭漏れちゃってるよね密閉容器に入れようぜ!(断絶しよう。[SEP]アベってなんでカタカナなのかね?安倍を安部って書いてるパヨが一時期大量発生してたせい?wアベ政権を許さないならまだしもアベ政治を許さないって可笑しいし、やっぱり自己紹介でキムチ臭漏れちゃってるよね密閉容器に入れようぜ!(断絶しよう),0,4,2.9,-2.387
280ed9f64,livejupiter,ふたりノーネームがおるからどっちが猫にゃんかわからないンゴね。[SEP]ふたりノーネームがおるからどっちが猫にゃんかわからないンゴねえ,0,4,4.312,-4.664
9052d7501,livejupiter,上半身が柔らかくて、下半身がクソ頑丈なイメージてか渡辺俊介はアンダーの中でも異色らしいや。[SEP]上半身が柔らかくて、下半身がクソ頑丈なイメージてか渡辺俊介はアンダーの中でも異色らしいやん,0,4,6.418,-8.06
15f00a674,news4vip,どういう主人公が好きよ?俺はこういうサバイバル系では結構チートで熱血漢のが好きなんだけ。[SEP]どういう主人公が好きよ?俺はこういうサバイバル系では結構チートで熱血漢のが好きなんだけど,0,4,6.043,-6.176
a1a0a4950,news4vip,ほーん、結局広告塔ってわけかまぁ結局一般のそれとの差別化のために固有の名称は必要でしょ。[SEP]モータースポーツやってるドライバーと土曜の夜に峠や首都高走ってる連中を同じ名称では呼ばないじゃん?それと同じじゃないの?,0,4,6.035,-6.734
034e4ad1e,newsplus,新聞で見かけたことがない爆破予告ならちらっとでも出ると思うけ。[SEP]新聞で見かけたことがない爆破予告ならちらっとでも出ると思うけど,0,4,6.062,-7.008
b42a26b78,news4vip,ステータスどうのこうのではなく、所帯持ちだと頑張りの次元が違う気がする周りと見てる。[SEP]ステータスどうのこうのではなく、所帯持ちだと頑張りの次元が違う気がする周りと見てると,0,4,5.99,-5.984
bb5904826,livejupiter,エロければフェミだろうとヴィーガンだろうと構わんで♥。[SEP]エロければフェミだろうとヴィーガンだろうと構わんで♥️,0,4,4.516,-4.723
ea1405c64,livejupiter,先に菜食押し付けて来たのあっちやろ集団でいきなり殴られたから火炎放射器で応戦してるだけや。[SEP]先に菜食押し付けて来たのあっちやろ集団でいきなり殴られたから火炎放射器で応戦してるだけやで,0,4,6.277,-6.414
a120b7271,newsplus,版権はナムコが持ってるのかな?アレが持ってたら無理だろうけど。[SEP]版権はナムコが持ってるのかな?アレが持ってたら無理だろうけど…,0,4,6.316,-7.367
32d08219a,news4vip,お前らの世論も9割以上退任すべきだっただろ人のせいにすんなボケ俺は新橋の世論調査でちゃんと続投させるべきって答えた。[SEP]お前らの世論も9割以上退任すべきだっただろ人のせいにすんなボケ俺は新橋の世論調査でちゃんと続投させるべきって答えたぞ,0,4,5.652,-5.39
625cd8b15,livejupiter,罪は許されるべ。[SEP]罪は許されるべき,0,4,3.176,-4.484
617af39fb,news4vip,打点王で左のリドラ処理してもらったおかげで安全にヨコカンできまし。[SEP]打点王で左のリドラ処理してもらったおかげで安全にヨコカンできました,0,4,5.984,-6.16
