id,source,text,label,fold,pred0,pred1
6378fea6b,livejupiter,最近はアヘアヘQSマンやない？ ｲｲ!(・∀・)+1-0(・Ａ・)ｲｸﾅｲ。[SEP]最近はアヘアヘQSマンやない？ ｲｲ!(・∀・)+1-0(・Ａ・)ｲｸﾅｲ!,0,4,6.74,-6.566
c4bc5079b,newsplus,"だから、『退治』なわけ。[SEP]
殺されたとか、無実の人間みたいな言い方するな。
退治されただけだろうが。",0,4,5.527,-5.02
f696409f8,news4vip,"都内の主要幹線道路の一角にいた百円で醤油の効いた海苔巻き餅を売ってくれたオジサン
あれは旨かっ。[SEP]都内の主要幹線道路の一角にいた百円で醤油の効いた海苔巻き餅を売ってくれたオジサン
あれは旨かった",0,4,4.402,-5.8
1cea0f9a0,newsplus,"付加機能がなにもない一番安い機種だね。[SEP]
数字のボタン押して電話掛けるだけのヤツ。",0,4,3.404,-3.996
49bd87405,news4vip,"ファーストエイドってリアルに救急箱かよwww
コンパスポーチにでも忍ばしておく。[SEP]ファーストエイドってリアルに救急箱かよwww
コンパスポーチにでも忍ばしておくよ",0,4,5.234,-5.547
63d2593c3,news4vip,"彼らはネットを見てないのかね
声掛けが不快だって意見が多い事を知らないの。[SEP]彼らはネットを見てないのかね
声掛けが不快だって意見が多い事を知らないのか",0,4,6.906,-7.895
e46e68798,news4vip,"だよね、javaの本読んでJSの本読んだら
一瞬文学系の本読んでるかと錯覚したもん
javaもやりた。[SEP]だよね、javaの本読んでJSの本読んだら
一瞬文学系の本読んでるかと錯覚したもん
javaもやりたい",0,4,5.99,-7.35
85fc88d5c,news4vip,"いや、あくまで糸口やからね、車輪っぽいものから車輪が作れるということは人類が多少アイデアを足してるってことやろ？
つまり人類は自然界に存在するものとは違うものを作り出すことができる、だから量子コンピュータを作ることができる可能性は存在す。[SEP]いや、あくまで糸口やからね、車輪っぽいものから車輪が作れるということは人類が多少アイデアを足してるってことやろ？
つまり人類は自然界に存在するものとは違うものを作り出すことができる、だから量子コンピュータを作ることができる可能性は存在する",0,4,5.125,-6.12
5d3c153be,news4vip,"本人調子狂うとよくないがおーぷんで今まで見た中でベストだわ。[SEP]
240でまずビビった。",0,4,4.793,-4.69
2334f5fa8,news4vip,"お粗末ブームが来たせいで
今まで無地パーカー好きで着てたのが着れなくなった
考え過ぎかね。[SEP]お粗末ブームが来たせいで
今まで無地パーカー好きで着てたのが着れなくなった
考え過ぎかね？",0,4,5.824,-6.645
737bf113e,news4vip,"子孫を残す為に若い女を求めるのは生き物として当然な気がする
一夫多妻制の国の男は総じて自分より年下の女を選んでる。[SEP]子孫を残す為に若い女を求めるのは生き物として当然な気がする
一夫多妻制の国の男は総じて自分より年下の女を選んでるし",0,4,3.86,-4.426
9b9f79543,newsplus,アメリカザリガニに日本ザリガニが駆逐されてくようなも。[SEP]アメリカザリガニに日本ザリガニが駆逐されてくようなもの,0,4,2.414,-2.807
62aadc752,news4vip,"小遣い稼ぎと考えるなら良いんじゃね
いくら利益がでるかわからんけ。[SEP]小遣い稼ぎと考えるなら良いんじゃね
いくら利益がでるかわからんけど",0,4,6.734,-6.895
cb78d170c,news4vip,"それそれ！
でもいざ自分がやってみると、興奮してるわけでもないのに反応しちゃうもんだから…
情けないやら申し訳ないやら。[SEP]それそれ！
でもいざ自分がやってみると、興奮してるわけでもないのに反応しちゃうもんだから…
情けないやら申し訳ないやらで",0,4,8.07,-8.17
