id,source,text,label,fold,pred0,pred1
b164471b9,news4vip,神様に愛を捧げる、人生で良い転機が訪れたのは大体私の中では神社や神道が絡んでくると。[SEP]神様に愛を捧げる、人生で良い転機が訪れたのは大体私の中では神社や神道が絡んでくるとき,0,2,4.543,-5.867
64f68573b,news4vip,キラ付けやってないのよ。[SEP]キラ付けやってないのよ…,0,2,5.645,-6.13
b58e19923,news4vip,そうだけど予定あるとか気が乗らないとかって普通に断ればいいけど今月は金が無いからって理由で断るのは引くわ飲みとかなんにしても1万円以下の話だ。[SEP]そうだけど予定あるとか気が乗らないとかって普通に断ればいいけど今月は金が無いからって理由で断るのは引くわ飲みとかなんにしても1万円以下の話だぞ,0,2,6.633,-7.55
cdf75e9e5,newsplus,その内ホウ酸団子でも無理になってたら笑えんなぁでもまだゴキブリホイホイがある。[SEP]その内ホウ酸団子でも無理になってたら笑えんなぁでもまだゴキブリホイホイがあるか,0,2,5.2,-6.13
69d0d4458,livejupiter,そら女には力はないし頭も男の方が優れてるからな女には女の仕事があって、男には男の仕事がある男に満足な育児はできへんからなその点で男は女に劣って。[SEP]そら女には力はないし頭も男の方が優れてるからな女には女の仕事があって、男には男の仕事がある男に満足な育児はできへんからなその点で男は女に劣ってる,1,2,0.6045,-0.5864
dd4f70880,news4vip,これはリアルでは年の離れた兄以外知らないことだからね。[SEP]しーだよ?,0,2,4.777,-5.566
bd6ac8720,livejupiter,広島ファンのほうが悪質だから広島のユニフォーム着て応援するのはドイツでハーケンクロイツを堂々と掲げて町中を歩くこととなんも変わらんことやそんな世界の常識すら理解出来てない広島ファンやで?あんなゴミ以下と言うとかヘイトスピーチやぞ人権侵害や。[SEP]広島ファンのほうが悪質だから広島のユニフォーム着て応援するのはドイツでハーケンクロイツを堂々と掲げて町中を歩くこととなんも変わらんことやそんな世界の常識すら理解出来てない広島ファンやで?あんなゴミ以下と言うとかヘイトスピーチやぞ人権侵害やぞ,0,2,2.785,-1.968
c8adb30da,news4vip,とりあえず話会うときにボイスレコーダーを持っていかないとな。[SEP]ボイスレコーダーはアナログ式のほうが確実だぞ,0,2,4.703,-5.21
4a0485c57,news4vip,/￣￣￣＼Σ￣と(|ﾟヮﾟノいうほどきるるんってねこちゃんにだけ￣￣￣デレてたっけ?むしろクロムクロさんとは一位タイか2番目くらいに絡んでたイメージだったんだけ。[SEP]/￣￣￣＼Σ￣と(|ﾟヮﾟノいうほどきるるんってねこちゃんにだけ￣￣￣デレてたっけ?むしろクロムクロさんとは一位タイか2番目くらいに絡んでたイメージだったんだけど,0,2,5.2,-5.195
55119f544,news4vip,うちはサザエさんみたいな家なんで…何故か、親が俺を信用できなくて婿入りしてもらって。[SEP]うちはサザエさんみたいな家なんで…何故か、親が俺を信用できなくて婿入りしてもらってる,0,2,6.137,-6.617
