id,source,text,label,fold,pred0,pred1
80074aa43,news4vip,"まともに相手されてない人との関係なんて
そんな大事にするものか。[SEP]まともに相手されてない人との関係なんて
そんな大事にするものか？",0,0,4.59,-5.09
4bfd81550,news4vip,キャラクターはこれといって有名なものはありません。[SEP]なにか物事をとにかくキャラクターにするような感じです。イメージも人それぞれです。,0,0,4.38,-4.016
27f970985,newsplus,生身のドス攻撃って言うと・・・ってあいつらそれもやりそうだよ。[SEP]生身のドス攻撃って言うと・・・ってあいつらそれもやりそうだよね,0,0,7.035,-7.7
653c87fa8,news4vip,"私フェミニストなのかなー。[SEP]
そうは思ってなかったし、そういわれたこともなかった。",0,0,4.6,-4.75
bc0bfeda7,livejupiter,"負けていいなんて思ってるスポーツ選手なんて大成するはずないのに、そう思いながらプロ名乗ってる選手の気がしれんよほんと

「たまたまサイコロの6の目が出た、やったー！」ってのをサッカー場使って地方都市ぐるみで大掛かりにやってるのがそんなに楽しいのか。[SEP]負けていいなんて思ってるスポーツ選手なんて大成するはずないのに、そう思いながらプロ名乗ってる選手の気がしれんよほんと

「たまたまサイコロの6の目が出た、やったー！」ってのをサッカー場使って地方都市ぐるみで大掛かりにやってるのがそんなに楽しいのかと",0,0,4.004,-4.57
d386e8056,news4vip,"桃かわからんが確かにフルーティーな香りするよねw
なんか虫コナーズに同じ香りのものがあるらしい。[SEP]桃かわからんが確かにフルーティーな香りするよねw
なんか虫コナーズに同じ香りのものがあるらしいが",0,0,7.246,-7.863
4e64423c0,livejupiter,"1万だったらピンサロぐらいしか行けんな
ピンサロでなら指命もできるだろ。[SEP]1万だったらピンサロぐらいしか行けんな
ピンサロでなら指命もできるだろう",0,0,5.805,-6.72
449cb772d,news4vip,でもプフが人間側に撒き散らしてた可能性あるよ。[SEP]でもプフが人間側に撒き散らしてた可能性あるよな,0,0,6.246,-7.062
ca8ef7bd2,newsplus,"|＿,,∧
|工°=)＜おーぷんとも関係ないから～ω分かるはずないよ～！でも、組織でもない～ω
|×)∂個別の１１人的な～ω
|ω。[SEP]|＿,,∧
|工°=)＜おーぷんとも関係ないから～ω分かるはずないよ～！でも、組織でもない～ω
|×)∂個別の１１人的な～ω
|ω∪",0,0,5.797,-7.312
66eb0c932,livejupiter,デュラララチャットで自衛官って嘘ついてたら論破されて顔真っ赤になったわ、死にた。[SEP]デュラララチャットで自衛官って嘘ついてたら論破されて顔真っ赤になったわ、死にたい,0,0,5.938,-7.285
bb608e780,livejupiter,"今から4g買っても楽しめるかな？
ちなみに今までプレイは
無印、G、2、P、P2、P3、P3Gまで。[SEP]今から4g買っても楽しめるかな？
ちなみに今までプレイは
無印、G、2、P、P2、P3、P3Gまでや",0,0,5.047,-7.316
604fad2a9,news4vip,"独身女なんて人間としての価値無いからな
女の仕事は、養鶏場の鶏と同じで、産むのが仕事
その仕事を放棄しているのならば、産まなくなった鶏と同じように廃棄すれば良。[SEP]独身女なんて人間としての価値無いからな
女の仕事は、養鶏場の鶏と同じで、産むのが仕事
その仕事を放棄しているのならば、産まなくなった鶏と同じように廃棄すれば良い",1,0,-0.5264,1.687
b90e8406e,news4vip,ケンモメンが消えろということか。[SEP]ケンモメンが消えろということか？,0,0,5.246,-6.273
0ddd0a075,newsplus,"はあ？
イスラム教徒がロックコンサート行くか？
パリテロではイスラム教徒の被害者居ないだろ。[SEP]",0,0,4.4,-4.97
9a63d2f53,news4vip,"アフリカ人が死ぬのは怠けているからではないでしょう。[SEP]
あなたが仕事か餓死かを選んだらどちらを選びますか？

働いてもそれを上回る飢餓が起こっています",0,0,1.772,-1.728
f5373340f,news4vip,"理不尽な辛さじゃなければ一理あるとは思ってる
乗り越えるためのアドバイスやら助言を貰いに行く事はいいと思うけど
悩みの内容によるか。[SEP]理不尽な辛さじゃなければ一理あるとは思ってる
乗り越えるためのアドバイスやら助言を貰いに行く事はいいと思うけど
悩みの内容によるかな",0,0,5.242,-4.73
c6a364666,livejupiter,"別に疚しいことなんてないんやで協力すればええのに
誰も角たたんや。[SEP]別に疚しいことなんてないんやで協力すればええのに
誰も角たたんやろ",0,0,7.188,-8.164
abedb1814,news4vip,"議論であろうが討論であろうが己が無知を知るべき所
人は全てに於いて世を知っている訳ではない
知らない事を教えて貰えるその機会ってのはとても貴重なこと
勝ち負けに拘ってるようじゃ世界を狭めるだけ。[SEP]議論であろうが討論であろうが己が無知を知るべき所
人は全てに於いて世を知っている訳ではない
知らない事を教えて貰えるその機会ってのはとても貴重なこと
勝ち負けに拘ってるようじゃ世界を狭めるだけだ",0,0,3.43,-3.611
d0dce2ceb,livejupiter,"ワイは黒羽根と同じ地元やからクビにされたら凹む
あと石井裕也も同じ地元。[SEP]ワイは黒羽根と同じ地元やからクビにされたら凹む
あと石井裕也も同じ地元や",0,0,5.6,-6.613
8a0a1954d,livejupiter,（なんとも）ないで。[SEP]（なんとも）ないです,0,0,5.035,-5.37
